tweet title,sentiment
ministerpwd will speak about bill the proposed accessible canada act before the senate committee on social affairs science and technology on april 3 watch the broadcast accessiblecanada,Positive
the goc is seeking applications for canada s first proposed chief accessibility officer apply by april 15 2019 accessiblecanada,Positive
rt financecanada the government of canada is investing in the middleclass and making life more affordable for canadian families check,Positive
dyk today s googledoodle honours seiichi miyake the inventor of tenji blocks tactile pavement seen on transit boarding platforms and crosswalks across the that helps visually impaired people navigate safely,Positive
the accessibility regulations proposed by ctagc are an important milestone in canada they show that the government is taking concrete measures to improve accessibility in the transportation sector for canadians with disabilities httpstcoqreqcagcjf,Positive
after extensive consultations ctagc is proposing new regulations related to accessibility their goal to make canada s national transportation system the most accessible in the world,Positive
womenandgirls with disabilities are more than a footnote released today on a report from dawnrafhcanada sheds light on the key issues they are facing read the full report and a statement from ministerpwd,Positive
ministerpwd visited saanich neighbourhood place one of four community organizations receiving goc support this year to improve accessibility for persons with disabilities in greater victoria,Positive
rt jobsemplois today minworkdev met with participants from the skills link funded canassistuvic project the project helps young,Positive
today on pinkshirtday we are reminded to practice kindness and take action against all forms of bullying in our homes places of work schools and online together we can make a difference,Positive
rt sportcanadaen your organization interested in testing new ways of working in sport and improving sport participation,Positive
yesterday marked another important milestone for the proposed accessiblecanadaact as senator munson started second reading debates in the senateca accessibility,Positive
today the gc announced funding for organizations in edmonton to improve accessibility and job opportunities for persons with disabilities find out more httpstcoljejuyqvwv,Positive
rt cdnheritage we are the flag today is the birthday of our canadianflag show off your pride by posting your best pics with,Positive
rt socdevsoc canada s volunteerawards national advisory committee needs members to help recognize the important contributions that,Positive
dyk later this year a wider variety of accessibilitythemed emojis will be available to represent various disabilities share your thoughts with us,Positive
let s keep the conversation about mental health going the more we talk about it the more we will succeed in creating a stigmafree and barrierfree canada where everyone can fulfill their hopes and dreams and feel fully included,Positive
today the gc announced support that will enable windsor s riverside minor baseball club to build a fully accessible sport field children and young adults with disabilities will no longer be excluded due to natural barriers such as uneven grounds,Positive
participation in the labour market is key to a more inclusive canada today in windsor the gc announced support to the ymcaofswo for its program to assist persons with disabilities who face barriers to employment,Positive
yesterday ministerpwd visited three calgary organizations thanks in part to support from gc s enabling accessibility fund these organizations will soon be more accessible to everyone httpstcoqlyxblorbx,Positive
we re looking back on some of our accomplishments from june 2016 to february 2017 the gc realized the largest most accessible and inclusive consultations on disability issues to date,Positive
rt socdevsoc if you want to recognize exceptional volunteers who make a difference in our communities this is your chance canada s,Positive
have you submitted your application to receive funding from the advancing accessibility standards research program yet it s not too late there are 2 weeks left to apply accessiblecanada httpstcoprtsnkssvb,Negative
mental illness affects us all on bellletstalk day and everyday we all need to challenge stigma in order to make real change every action counts,Negative
1 in 5 canadians will have a mental illness at some point in their lives removing barriers faced by persons with disabilities including people living with mental illness will create an inclusive canada every action counts accessiblecanada bellletstalk httpstcoxdejojxktt,Negative
rt ctagc have an accessibilityrelated complaint about federallyregulated transportation services in canada submit it using our,Negative
does your organization work on cutting edge information and communication technologies that will improve accessibility your research project could be eligible for funding find out accessiblecanada,Negative
the empowerment and leadership of persons with disabilities are key to building a society that leaves no one behind let s celebrate the contributions of canadians with disabilities in our communities accessiblecanada,Negative
after losing her eyesight a few years ago hillary became frustrated in finding places to dispose of trash while on campus in collaboration with experts she developed a system to help others who have impairments know when they re close to bins youthskills,Negative
rt jobsemplois would you like to be an inclusive employer but are not sure where to begin access resources on hiring persons with,Negative
may 26 to june 1 is a time to promote inclusion and accessibility in our communities celebrate the contributions of persons with disabilities and recognize those who are actively removing barriers and giving canadians of all abilities a chance to succeed,Negative
rt cemhwcesmmt the countdown is on one week to go until the canadian mental health association s mental health week tell us,Negative
dyk a new app helps people who are blind or visually impaired read labels expiry dates amp street signs by pairing them with sighted people through a live video connection would you use this app share your thoughts with,Negative
over the next few days we are celebrating world autismawareness week and the contributions of people like viviane her employment at lorealpariscan was made possible with support from the goc opportunities fund check out the video below,Negative
on we continue to advocate for the rights inclusion and wellbeing of persons with down syndrome so that we leavenoonebehind accessiblecanada accessibility,Negative
rt socdevsoc past recipients of canada s volunteerawards are invited to apply for the national advisory committee apply here,Negative
rt statcaneng did you know over 2 million canadians aged 15 years and over 7 have a mental healthrelated disability join the,Negative
the goc is providing to organizations across to support their research projects on accessibility standards find out if your organization is eligible accessiblecanada,Neutral
10 days left to apply for funding under the advancing accessibility standards research program your research could help remove barriers to accessibility,Neutral
during whitecaneweek let s celebrate the contributions canadians with visual impairments make in the workplace dyk that the goc invested 1 million to connect canadians with visual impairments to employment opportunities accessiblecanada,Neutral
only 3 weeks left to apply for the advancing accessibility standards research program for eligibility criteria and application process httpstcoyidmtkazxj accessiblecanada,Neutral
are you conducting research on accessibility standards and employment in you could be eligible for a grant or contribution accessiblecanada,Neutral
the advancing accessibility standards research program provides funding to support research into the identification and removal of barriers to accessibility you could be eligible for a grant or contribution accessiblecanada httpstcosyofsznbaw,Neutral
how do you think we can improve accessibility standards for emergency measures your research projects could be eligible for funding from the goc accessiblecanada emergencypreparedness,Neutral
rt ctagc accessiblecanadaact gives compensation powers to ctagc awarding up to 20000 resulting from lost wages painsuffering amp,Neutral
changing attitudes begins with teaching the next generation check out this neat article on how to teach children about disabilities,Neutral
rt pspcspac purplelightup,Neutral
rt canadianpm prime minister justin trudeau s statement on the international day of persons with disabilities,Neutral
rt pspcspac we re going purple keep a look out for some government of canada buildings across the country tomorrow as they join,Neutral
the countdown is on mark your calendars for december to celebrate international day of persons with disabilities,Neutral
rt canadianpm carla qualtrough becomes minister of employment workforce development and disability inclusion,Neutral
we honour the hundreds of thousands of canadian veterans with disabilities remembranceday accessiblecanada,Neutral
as part of the goc s efforts to make a barrierfree country we are applying an accessibility lens to,Neutral
rt gcindigenous hearing aids can make a world of difference jordansprinciple can help firstnations children get hearing aids and,Neutral
icymi as part of its ongoing efforts to make canada a barrierfree country the goc has launched its firstever accessibility strategy for the public service,Neutral
do you know of an organization that would benefit from accessibility improvements such as an automatic door opener like the association for community living s beausejour branch recently got if so become an eaf youth leader accessiblecanada,Neutral
dyk under the accessiblecanada act organizations under federal jurisdiction will have three key duties,Neutral
dyk the accessiblecanadaact will apply to organizations under federal jurisdiction such as the federally regulated private sector banking air transportation and telecommunications the government of canada and parliament,Neutral
at 16 emma maceachern suffered a spinal cord injury and her experience opened her eyes to barriers to accessibility to make a difference and improve accessibility in her community she became an eaf youth leader httpstcoyxqvjfihni httpstcowxmcqrpfku,Neutral
another key milestone reached,Neutral
as bill awaits royal assent ministerpwd participated in a celebratory event to recognize the decades of advocacy by dedicated members of the disability community,Neutral
rt jobsemplois learn how hiring persons with disabilities can benefit your business get the facts find tools and connect with,Neutral
rt hannahmacl had the honour to participate in the intersectional barriers and challenges of persons with disabilities as the canadian,Neutral
minister qualtroughs remarks start at 137,Neutral
rt socdevsoc want to meet the 2018 canada volunteeraward recipients who were recognized at last year s ceremony it could be you,Neutral
this week ministerpwd will participate in the session of the conference of states parties to the un convention on the rights of persons with disabilities follow accessiblegc and stay tuned for updates,Neutral
rt jobsemplois lower turnover increased productivity accelerated innovation improved employee satisfaction these are just,Neutral
rt socdevsoc last call if you want to nominate someone you know a notforprofit organization or a business for a,Neutral
national accessability week doesn t need to end challenge you to keep championing accessibility and inclusion in our communities and workplaces each and every day accessiblecanada,Neutral
through goc support several organizations in the atlantic provinces will improve accessibility amp safety in public spaces and workplaces creating opportunities for persons with disabilities to participate in activities amp services httpstcoqjwusixutn,Neutral
the goc will provide support to reelabilitiesto film festival s reeleducation program to raise awareness about disabilities and inclusion through film and discussion httpstcozfdawcyacg httpstcohrlabdwitj,Neutral
bill the accessiblecanada act has been adopted by both houses of parliament onward to royal assent,Neutral
rt tbscanada here are the highlights from today s official launch of our accessibility strategy for the public service of canada,Neutral
let s change the way we think talk and act about accessability and inclusion accessiblecanada,Neutral
national accessability week starts today follow us on twitter and facebook as we celebrate accessibility and inclusion in accessiblecanada httpstcojfusfkxrit,Neutral
today on global accessibility awareness day we recognize the importance of digital access and inclusion for persons with disabilities in the online world gaad httpstcoaiwmtsxmoe,Neutral
key insights from the national disability summit partners from across sectors future generations people s needs the issues inclusion accessiblecanada httpstcobwemkxzoyw,Neutral
ministerpwd speaks about moving from accommodation to inclusion at the national disability summit accessiblecanada,Neutral
rt canadianpm prime minister justin trudeau s statement for mentalhealthweek,Neutral
rt socdevsoc the call for nominations for canada s volunteerawards is open until june 21 tag a friend and tell us how they,Neutral
4 days left the goc is still accepting applications for the proposed canadian accessibility standards development organization casdo apply by april 29 2019 httpstcomhxrmgrazg accessiblecanada,Neutral
deadline extended to april 29 the goc is still accepting applications for the proposed canadian accessibility standards development organization casdo apply by april 29 2019 accessiblecanada,Neutral
rt volunteercanada this lets celebrate canadians who generously give 2 billion hours of volunteering each year thats the,Neutral
rt socdevsoc the call for nominations for canada s volunteerawards is now open nominate a volunteer,Neutral
reminder the goc is still accepting applications for the proposed canadian accessibility standards development organization apply by april 15 2019 chief executive officer chairperson vicechair board member,Neutral
rt pspcspac we re developing a worldclass standard for accessibility we want to know industry s interest and ability to undertake,Neutral
22 the goc is also seeking applications for the following positions to ensure the proposed accessiblecanada act removes barriers from day one chairperson vicechair board members httpstcoeujxmkdytm httpstcoitlwqapvsp,Neutral
12 the goc is now accepting applications for a chief executive officer for the proposed canadian accessibility standards development organization casdo taking steps to ensure the proposed accessiblecanada act removes barriers from day one,Neutral
rt tbscanada gc employees in toronto join deputy minister yazminelaroche for a town hall about canada s public service,Neutral
rt socdevsoc today is the last day to apply for canada s volunteerawards national advisory committee you could help determine the,Neutral
rt socdevsoc deadline extended the call for applications for the canada s volunteerawards national advisory committee is now open,Neutral
rt socdevsoc only one week left to submit your application for canada s volunteerawards national advisory committee click here,Neutral
ministerpwd named person of the year by ccbnational in recognition of her engagement towards accessibility whitecaneweek,Neutral
rt socdevsoc we are inviting individuals from the notforprofit volunteer amp private sectors to apply to become a member of the,Neutral
as part of a gc program to improve accessibility and safety for persons with disabilities in communities and workplaces windsor s eccca will receive funding to retrofit its entrance and install automated doors to improve access,Neutral
in windsor today the gc announced that the university of windsor will be receiving funding for adaptive computer enhancements such as speech capability software and for installing automated door openers,Neutral
rt socdevsoc canada s volunteerawards national advisory committee is looking for members with experience working or volunteering with,Neutral
government of canada improves accessibility for persons with disabilities,Neutral
